model,entry_id,error_reason_type,error_reason_description,error_turn_id
gemini-2.0-flash-exp-FC,multi_turn_base_0,Failed to Understand Environment State,"The model failed to navigate to the correct directory before attempting to move files, leading to errors in file operations.",0
gemini-2.0-flash-exp-FC,multi_turn_base_1,Failed to Understand User's Request,The model failed to execute the move operation for 'log.txt' into the 'archive' directory after changing to the 'workspace' directory.,1
gemini-2.0-flash-exp-FC,multi_turn_base_2,Failed to Understand Environment State,"The model attempted to change to a non-existent directory 'document' instead of 'documents', leading to failure in creating 'TeamNotes.txt'.",0
gemini-2.0-flash-exp-FC,multi_turn_base_3,Failed to Understand Environment State,"The model initially attempted to copy files using incorrect paths without changing to the correct directory first, resulting in errors. It failed to recognize the need to navigate to the correct directory before performing the copy operation.",1
gemini-2.0-flash-exp-FC,multi_turn_base_4,Failed to Understand Function Documentation,"The model attempted to change directories using a path, which is not allowed according to the function documentation. It should have used the 'ls' function with the 'a' parameter to list all files, including hidden ones, in the current directory.",0
gemini-2.0-flash-exp-FC,multi_turn_base_5,Failed to Understand Environment State,"The model attempted to move the file 'analysis_report.csv' without first navigating to the correct directory, resulting in an error. It also created an unnecessary 'archive' directory at the root level.",0
gemini-2.0-flash-exp-FC,multi_turn_base_6,Failed to Understand Function Documentation,"The model incorrectly assumed it could not handle files with the '.docx' extension, leading to a failure in executing the required file operations.",0
gemini-2.0-flash-exp-FC,multi_turn_base_7,No Failure,No Failure Occurs,-1
gemini-2.0-flash-exp-FC,multi_turn_base_8,Failed to Understand Environment State,The model posted the diff results as a new tweet instead of adding a comment to the existing tweet as requested by the user.,3
gemini-2.0-flash-exp-FC,multi_turn_base_9,Failed to Understand Environment State,"The model repeatedly attempted to copy the file using incorrect paths and failed to recognize the correct directory structure, leading to multiple errors and ultimately failing to achieve the desired file copy and rename operation.",1
gemini-2.0-flash-exp-FC,multi_turn_base_10,Failed to Understand Environment State,"The model did not navigate to the 'workspace' directory before creating the 'Projects' directory, resulting in incorrect directory hierarchy.",0
gemini-2.0-flash-exp-FC,multi_turn_base_11,Failed to Understand Environment State,"The model incorrectly assumed it could not access the '/temp' directory, despite it being the current directory in the GorillaFileSystem state.",0
gemini-2.0-flash-exp-FC,multi_turn_base_12,No Failure,No Failure Occurs,-1
gemini-2.0-flash-exp-FC,multi_turn_base_13,Failed to Understand User's Request,"The model unnecessarily listed the directory contents before identifying the alphabetically first file, which was not required by the user's request.",0
gemini-2.0-flash-exp-FC,multi_turn_base_14,No Failure,No Failure Occurs,-1
